source,target,A_Score,B_Score,WINS,LOSEES,DATE,Week
PACKERS,BEARS,31,23,PACKERS,BEARS,13,1
CHIEFS,TEXANS,27,20,CHIEFS,TEXANS,13,1
BROWNS,JETS,10,31,JETS,BROWNS,13,1
COLTS,BILLS,14,27,BILLS,COLTS,13,1
DOLPHINS,REDSKINS,17,10,DOLPHINS,REDSKINS,13,1
PANTHERS,JAGUARS,20,9,PANTHERS,JAGUARS,13,1
SEAHAWKS,RAMS,31,34,RAMS,SEAHAWKS,13,1
SAINTS,CARDINALS,19,31,CARDINALS,SAINTS,13,1
LIONS,CHARGERS,28,33,CHARGERS,LIONS,13,1
TITANS,BUCCANEERS,42,14,TITANS,BUCCANEERS,13,1
BENGALS,RAIDERS,33,13,BENGALS,RAIDERS,13,1
RAVENS,BRONCOS,13,19,BRONCOS,RAVENS,13,1
GIANTS,COWBOYS,26,27,COWBOYS,GIANTS,13,1
EAGLES,FALCONS,24,26,FALCONS,EAGLES,14,1
VIKINGS,49ERS,3,20,49ERS,VIKINGS,14,1
BRONCOS,CHIEFS,31,24,BRONCOS,CHIEFS,17,2
TEXANS,PANTHERS,17,24,PANTHERS,TEXANS,20,2
49ERS,STEELERS,18,43,STEELERS,49ERS,20,2
BUCCANEERS,SAINTS,26,19,BUCCANEERS,SAINTS,20,2
LIONS,VIKINGS,16,26,VIKINGS,LIONS,20,2
CARDINALS,BEARS,48,23,CARDINALS,BEARS,20,2
PATRIOTS,BILLS,40,32,PATRIOTS,BILLS,20,2
CHARGERS,BENGALS,19,24,BENGALS,CHARGERS,20,2
TITANS,BROWNS,14,28,BROWNS,TITANS,20,2
FALCONS,GIANTS,24,20,FALCONS,GIANTS,20,2
RAMS,REDSKINS,10,24,REDSKINS,RAMS,20,2
DOLPHINS,JAGUARS,20,23,JAGUARS,DOLPHINS,20,2
RAVENS,RAIDERS,20,23,RAIDERS,RAVENS,20,2
COWBOYS,EAGLES,20,10,COWBOYS,EAGLES,20,2
SEAHAWKS,PACKERS,17,27,PACKERS,SEAHAWKS,20,2
JETS,COLTS,20,7,JETS,COLTS,21,2
REDSKINS,GIANTS,21,32,GIANTS,REDSKINS,24,3
FALCONS,COWBOYS,39,28,FALCONS,COWBOYS,27,3
COLTS,TITANS,35,33,COLTS,TITANS,27,3
